"Region;GVP"
"Adygey;82583.7"
"Altay;492138.9"
"Amur;276877.1"
"Arkhangel'sk;399522.7"
"Astrakhan';320735"
"Bashkortostan;1317431.4"
"Belgorod;686357"
"Bryansk;269933.3"
"Buryat;204156.2"
"Chechnya;160503.2"
"Chelyabinsk;1170313.5"
"Chukot;63910.2"
"Chuvash;250408.9"
"City of St. Petersburg;3023972.3"
"Dagestan;559673.1"
"Gorno-Altay;41776.8"
"Ingush;54330.4"
"Irkutsk;1013542.3"
"Ivanovo;171019.5"
"Kabardin-Balkar;125393.1"
"Kaliningrad;328760"
"Kalmyk;47291.7"
"Kaluga;334825.7"
"Kamchatka;171900.1"
"Karachay-Cherkess;67355.2"
"Karelia;211133.6"
"Kemerovo;842618.9"
"Khabarovsk;571524.8"
"Khakass;171663.9"
"Khanty-Mansiy;3136831.9"
"Kirov;276506.4"
"Komi;523211.2"
"Kostroma;157705.7"
"Krasnodar;1946759.7"
"Krasnoyarsk;1618166"
"Kurgan;179711.8"
"Kursk;335300.3"
"Leningrad;853584.6"
"Lipetsk;457558"
"Maga Buryatdan;124596.9"
"Mariy-El;165531"
"Mordovia;187397.3"
"Moscow City;13532598"
"Moskva;3213873.1"
"Murmansk;390390"
"Nenets;217605.3"
"Nizhegorod;1069280.2"
"North Ossetia;127543.9"
"Novgorod;240362.7"
"Novosibirsk;980850.5"
"Omsk;617184.4"
"Orel;205763.5"
"Orenburg;774859"
"Penza;336489.8"
"Perm';1048018.6"
"Primor'ye;716650"
"Pskov;132841.8"
"Rostov;1171784.1"
"Ryazan';316080.1"
"Sakhalin;999099.6"
"Sakha;749987.5"
"Samara;1240319.8"
"Saratov;617497.6"
"Smolensk;257098.9"
"Stavropol';609531.9"
"Sverdlovsk;1779446.4"
"Tambov;344879.6"
"Tatarstan;1833214.5"
"Tomsk;473693.1"
"Tula;476649.3"
"Tuva;47287.3"
"Tver';341202.5"
"Tyumen';900748.8"
"Udmurt;497685"
"Ul'yanovsk;301424.7"
"Vladimir;357913.1"
"Volgograd;735293.1"
"Vologda;468763.9"
"Voronezh;823133.6"
"Yamal-Nenets;1813393.2"
"Yaroslavl';432019.9"
"Yevrey;44873.3"
"Zabaykal'ye;248847.6"
